title,artist_name,writers,producer,release_yr,released,streak,acousticness,danceability,energy,instrumentalness
Like a Rolling Stone,Henri Salvador, Dylan, Tom Wilson ,1965,"July '65, Columbia",12 weeks; No. 2,0.611,0.389,0.91,0
(I Can't Get No) Satisfaction,Martin & les f̩es,"Mick Jagger, Keith Richards", Andrew Loog Oldham,1965," May '65, London",14 weeks; No. 1 ,0.246,0.59,0.737,0
Imagine,Joseph Williams,John Lennon," Lennon, Phil Spector, Yoko Ono",1971," Oct. '71, Apple",9 weeks; No. 3,0.952,0.663,0.131,0
What's Going On,Henri Salvador," Gaye, Renaldo Benson, Al Cleveland", Gaye ,1971," Feb. '71, Tamla",13 weeks; No. 2,0.703,0.24,0.326,0
Respect,Fabien Nataf, Otis Redding,Jerry Wexler,1967," April '67, Atlantic",12 weeks; No. 1,0.95,0.331,0.225,0.123
Good Vibrations,Henri Salvador," Brian Wilson, Mike Love", Wilson,1966," Oct. '66, Capitol",14 weeks; No. 1,0.749,0.578,0.0948,0
Johnny B. Goode,Martin & les f̩es, Chuck Berry," Leonard Chess, Phil Chess",1958," April '58, Chess",15 weeks; No. 8,0.344,0.703,0.27,0
HeyJude,Laura Mayne,"John Lennon, Paul McCartney", George Martin,1968," Aug. '68, Apple",19 weeks; No. 1,0.939,0.416,0.269,0
Smells Like Teen Spirit,Chorus, Kurt Cobain, Butch Vig,1991," Sept. '91, DGC",20 weeks; No. 6,0.00104,0.734,0.481,0.00086
My Generation,Leopold Stokowski, Pete Townshend, Shel Talmy,1965," Nov. '65, Decca",5 weeks; No. 74,0.921,0.191,0.145,0.529
A Change Is Gonna Come,Randy Newman, Cooke," Hugo Peretti, Luigi Creatore",1964," Dec. '64, RCA",7 weeks; No. 31,0.0383,0.23,0.133,0.887
Yesterday,Idoles De La Musique,"John Lennon, Paul McCartney", George Martin,1965," Sept. '65, Capitol",11 weeks; No. 1,0.215,0.68,0.6,0.0729
Blowin' in the Wind,Chorus, Dylan,John Hammond,1963," May '63, Columbia",Did not chart,0.958,0.758,0.264,0
London Calling,Richard M. Sherman," Mick Jones,Joe Strummer", Guy Stevens,1980,"Jan. '80, Epic",Did not chart,0.97,0.4,0.174,0.933
I Want to Hold Your Hand,Michel Roux,"John Lennon, Paul McCartney", George Martin,1963," Dec. '63, Capitol",15 weeks; no. 1,0.548,0.588,0.405,0
Purple Haze,Jean Claude Corbel, Hendrix, Chas Chandler,1967," March '67, Reprise",8 weeks; No. 65,0.7,0.625,0.237,0
Maybellene,Bernard Minet, Berry," Leonard Chess, Phil Chess",1955,"July '55, Chess",11 weeks; No. 5,0.488,0.744,0.953,0
Hound Dog,Henri Salvador,"Jerry Leiber, Mike Stoller", Steve Sholes,1956,"July '56, RCA",28 weeks; No. 1,0.381,0.451,0.491,0
Let It Be,Amalya,"John Lennon, Paul McCartney", George Martin,1970," March '70, Apple",14 weeks; No. 1,0.161,0.522,0.748,7.25E-06
Born to Run,Martin & les f̩es, Springsteen," Springsteen, Mike Appel",1975," Aug. '75, Columbia",11 weeks; No. 23,0.852,0.362,0.436,0
Be My Baby,Doroth̩e,"Jeff Barry, Ellie Greenwich, Phil Spector", Spector,1963, Aug. '63 ,13 weeks; No. 2 ,0.513,0.855,0.504,0
In My Life,Henri Salvador,"John Lennon, Paul McCartney", George Martin,1965," Dec. '65, Capitol",Non-single ,0.689,0.704,0.804,0.0422
People Get Ready,Jean Claude Corbel, Curtis Mayfield,Johnny Pate,1965,"Jan. '65, ABC-Paramount",8 weeks; No. 14 ,0.669,0.707,0.696,0
God Only Knows,Henri Salvador," Brian Wilson, Tony Asher", Wilson,1966," May '66, Capitol",8 weeks; No. 39 ,0.706,0.526,0.298,0
(Sittin' on) the Dock of the Bay,Jean Piat," Redding, Steve Cropper", Cropper,1968,"Jan. '68, Volt",16 weeks; No. 1,0.882,0.711,0.218,0
Layla,Henri Salvador," Eric Clapton,Jim Gordon"," Tom Dowd, the Dominos",1970," Nov. '70, Atco",15 weeks; No. 10 ,0.159,0.636,0.594,0
A Day in the Life,Lucie Dolene,"John Lennon, Paul McCartney", George Martin,1967,"June '67, Capitol",Non-single ,0.864,0.594,0.481,0
Help!,Henri Salvador,"John Lennon, Paul McCartney", George Martin,1965,"July '65, Capitol",13 weeks; No. 1 ,0.716,0.835,0.384,8.13E-06
I Walk the Line,Chorus, Cash, Sam Phillips,1956," Aug. '56, Sun",22 weeks; No. 17 ,0.184,0.695,0.5,0.000328
Stairway to Heaven,Chorus,"Jimmy Page, Robert Plant", Page,1971," Nov. '71, Atlantic",Non-single,0.00323,0.711,0.941,0.0011
Sympathy for the Devil,Martin & les f̩es,"Mick Jagger, Keith Richards",Jimmy Miller,1968," Dec. '68, London",Non-single,0.305,0.618,0.283,0
River Deep - Mountain High,Henri Salvador," Phil Spector,Jeff Barry, Ellie Greenwich", Spector,1966," May '66, Philles",4 weeks; No. 88 ,0.922,0.681,0.44,0
You've Lost That Lovin' Feelin',Henri Salvador," Phil Spector, Barry Mann, Cynthia Weil", Spector,1964," Dec. '64, Philles",16 weeks; No. 1 ,0.942,0.883,0.418,0
Light My Fire,Chorus," Robby Krieger,John Densmore,Jim Morrison, Ray Manzarek", Paul Rothchild,1967,"June '67, Elektra",17 weeks; No. 1 ,0.123,0.784,0.653,0.002
One,Henri Salvador," Bono, the Edge, Adam Clayton, Larry MullenJr."," Brian Eno, Daniel Lanois",1991," Nov. '91, Island",20 weeks; No. 10 ,0.767,0.776,0.468,1.27E-06
"No Woman, No Cry",Chorus," Vincent Ford, Marley"," Chris Blackwell, Marley and the Wailers",1975," May '75, Island",Did not chart,0.164,0.848,0.826,0
Gimme Shelter,Henri Salvador,"Mick Jagger, Keith Richards",Jimmy Miller,1969," April '69, London",11 weeks; No. 21 ,0.619,0.483,0.497,0
That'll Be the Day,Richard M. Sherman,"Jerry Allison, Holly, Norman Petty", Petty,1957," May '57, Brunswick",1 week; No. 1,0.932,0.348,0.2,0.919
Dancing in the Street,Larry Groce," Marvin Gaye, Ivy Hunter, William ""Mickey"" Stevenson", Stevenson ,1964, Sept. '64,14 weeks; No. 2,0.508,0.567,0.654,0
The Weight,Chorus, Robbie Robertson,John Simon,1968," Aug. '68, Capitol",7 weeks; No. 63,0.649,0.483,0.366,8.32E-06
Tutti-Frutti,Henri Salvador," Dorothy La Bostrie, Richard Penniman,Joe Lubin"," Robert ""Bumps"" Blackwell",1955," Dec. '55, Specialty",12 weeks; No. 17,0.934,0.336,0.107,4.90E-05
Georgia on My Mind,Patrick Rocca," Hoagy Carmichael, Stuart Gorrell", Sid Feller,1960," Sept. '60, ABC-Paramount",13 weeks; No. 1 ,0.576,0.503,0.456,0
Heartbreak Hotel,Ken Page," Mae Boren Axton, Tommy Durden, Presley", Steve Sholes,1956,"Jan. '56, RCA",27 weeks; No. 1 ,0.751,0.566,0.512,0
Heroes,Ken Page," Bowie, Brian Eno", Tony Visconti,1977," Sept. '77, RCA",Did not chart,0.614,0.434,0.528,0
All Along the Watchtower,Bernard Minet, Bob Dylan, Hendrix,1968," Sept. '68, Reprise",9 weeks; No. 20 ,0.0287,0.669,0.937,0
Bridge Over Troubled Water,Debbie Davis, Paul Simon," Art Garfunkel, Roy Halee, Simon",1970," Feb. '70, Columbia",14 weeks; No. 1 ,0.285,0.555,0.773,0.000732
Hotel California,Henri Salvador," Don Felder, Glenn Frey, Don Henley", Bill Szymczyk,1976," Dec. '76, Asylum",19 weeks; No. 1,0.659,0.804,0.636,0
The Tracks of My Tears,Doroth̩e," Pete Moore, Robinson, Marv Tamplin", Robinson,1965,"June '65, Tamla",12 weeks; No. 16 ,0.581,0.885,0.341,0
The Message,Claire Guyot," Duke Bootee, Melle Mel", Sylvia Robinson,1982," May '82, Sugar Hill",7 weeks; No. 62 ,0.902,0.489,0.26,0.000683
When a Man Loves a Woman,Henri Salvador," Calvin Lewis, Andrew Wright"," Marlin Greene, Quin Ivy",1966," March '66, Atlantic",13 weeks; No. 1 ,0.712,0.63,0.606,0
Louie Louie,Lucie Dolene, Richard Berry, Ken Chase,1963,"June '63,Jerden",16 weeks; No. 2 ,0.917,0.428,0.317,0
Long Tall Sally,Jean Piat," Robert ""Bumps"" Blackwell, Enotris Johnson, Little Richard","Robert ""Bumps"" Blackwell",1956," March '56, Specialty",19 weeks; No. 6 ,0.924,0.683,0.147,0
Anarchy in the U.K.,Justin Hurwitz," Paul Cook, Steve Jones, Glen Matlock,Johnny Rotten"," Chris Thomas, Bill Price",1977," Nov. '77, Warner Bros.",Non-single,0.967,0.55,0.0148,0.0608
Whiter Shade of Pale,Chorus," Keith Reid, Gary Brooker", Denny Cordell,1967,"June '67, A&M",12 weeks; No. 5,0.989,0.262,0.151,0
BillieJean,Henri Salvador,Jackson,"Jackson, Jones",1983,"Jan. '83, Epic",7 weeks; No. 1,0.728,0.538,0.294,0
The Times They Are A-Changin,Randy Newman, Dylan, Bob Johnston,1964,"Jan. '64, Columbia",Did not chart ,0.871,0.297,0.0808,0.891
Let's Stay Together,Chorus," Al Green, Al JacksonJr., Willie Mitchell", Mitchell,1971," Dec. '71, Hi",16 weeks; No. 1,0.126,0.542,0.797,0
Bo Diddley,Chorus, Ellas McDaniel," Phil Chess, Leonard Chess",1955,"June '55, Checker ",Did not chart,0.455,0.714,0.346,0
